AlterSchätzung,DeutscherN,Heimisch
25,Scheinakazie,Andere
25,Scheinakazie,Andere
55,Platane,Heimisch
45,Platane,Heimisch
15,Gemeine Esche,Heimisch
25,Gemeine Esche,Heimisch
50,Winterlinde,Heimisch
10,Gemeine Esche,Heimisch
80,Gemeine Esche,Heimisch
25,Gemeine Esche,Heimisch
75,Bergahorn,Heimisch
85,Gemeine Esche,Heimisch
25,Bergahorn,Heimisch
30,Gemeine Esche,Heimisch
15,Gemeine Esche,Heimisch
30,Gemeine Esche,Heimisch
25,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
120,Birke,Heimisch
50,Birke,Heimisch
130,Birke,Heimisch
110,Birke,Heimisch
40,Birke,Heimisch
70,Kirsche,Heimisch
65,"Urweltmammutbaum, Chinesisches Rotholz",Andere
60,"Urweltmammutbaum, Chinesisches Rotholz",Andere
65,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
65,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
100,"Urweltmammutbaum, Chinesisches Rotholz",Andere
75,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
105,"Urweltmammutbaum, Chinesisches Rotholz",Andere
120,"Urweltmammutbaum, Chinesisches Rotholz",Andere
60,"Urweltmammutbaum, Chinesisches Rotholz",Andere
95,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
110,"Urweltmammutbaum, Chinesisches Rotholz",Andere
15,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
15,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
120,"Urweltmammutbaum, Chinesisches Rotholz",Andere
15,"Urweltmammutbaum, Chinesisches Rotholz",Andere
120,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
55,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
35,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
35,Kastanie,Heimisch
95,Kastanie,Heimisch
95,Kastanie,Heimisch
45,Kastanie,Heimisch
45,Kastanie,Heimisch
45,Ahorn,Heimisch
50,Ahorn,Heimisch
55,Birke,Heimisch
35,Birke,Heimisch
30,Ahorn,Heimisch
35,Esche,Heimisch
30,Ahorn,Heimisch
50,Birke,Heimisch
50,Birke,Heimisch
25,Birke,Heimisch
60,Birke,Heimisch
40,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
25,Birke,Heimisch
30,Scheinakazie,Andere
10,Winterlinde,Heimisch
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Silberlinde,Andere
110,"Hainbuche, Weißbuche",Heimisch
50,Silberlinde,Andere
30,Kugelahorn,Heimisch
35,Winterlinde,Heimisch
20,Mehlbeere,Heimisch
25,Mehlbeere,Heimisch
60,Mehlbeere,Heimisch
40,"Crataegus, Dorn",Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
15,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
60,Mehlbeere,Heimisch
60,Mehlbeere,Heimisch
10,Mehlbeere,Heimisch
40,Mehlbeere,Heimisch
70,Mehlbeere,Heimisch
70,Mehlbeere,Heimisch
15,Mehlbeere,Heimisch
40,"Sommer-Eiche, Stieleiche",Heimisch
30,"Sommer-Eiche, Stieleiche",Heimisch
25,Mehlbeere,Heimisch
25,Mehlbeere,Heimisch
25,Linde,Heimisch
20,Linde,Heimisch
50,Hasel,Heimisch
40,Hasel,Heimisch
15,Hasel,Heimisch
65,Eiche,Heimisch
40,Hasel,Heimisch
55,Eiche,Heimisch
50,Eiche,Heimisch
55,Eiche,Heimisch
40,Eiche,Heimisch
65,Eiche,Heimisch
20,Eiche,Heimisch
50,Eiche,Heimisch
55,Eiche,Heimisch
65,Ahorn,Heimisch
55,Eiche,Heimisch
65,Eiche,Heimisch
75,Eiche,Heimisch
55,Eiche,Heimisch
50,Hasel,Heimisch
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
25,Ahorn,Heimisch
30,Ahorn,Heimisch
25,Baumhasel,Andere
30,Baumhasel,Andere
25,Baumhasel,Andere
30,Baumhasel,Andere
70,Platane,Heimisch
70,Platane,Heimisch
70,Platane,Heimisch
75,Platane,Heimisch
30,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
45,Winterlinde,Heimisch
45,Winterlinde,Heimisch
35,Winterlinde,Heimisch
30,Winterlinde,Heimisch
45,Winterlinde,Heimisch
35,Winterlinde,Heimisch
55,Winterlinde,Heimisch
45,Winterlinde,Heimisch
45,Winterlinde,Heimisch
40,Winterlinde,Heimisch
40,Winterlinde,Heimisch
35,Winterlinde,Heimisch
45,Winterlinde,Heimisch
45,Winterlinde,Heimisch
40,Winterlinde,Heimisch
30,Baumhasel,Andere
30,Baumhasel,Andere
30,Baumhasel,Andere
30,Baumhasel,Andere
15,Felsenbirne,Heimisch
15,Felsenbirne,Heimisch
20,Winterlinde,Heimisch
20,Winterlinde,Heimisch
20,Winterlinde,Heimisch
20,Winterlinde,Heimisch
15,Winterlinde,Heimisch
35,Winterlinde,Heimisch
40,Silberlinde,Andere
55,Winterlinde,Heimisch
20,Winterlinde,Heimisch
5,Winterlinde,Heimisch
55,Winterlinde,Heimisch
40,Winterlinde,Heimisch
50,Winterlinde,Heimisch
45,Winterlinde,Heimisch
20,Winterlinde,Heimisch
35,Winterlinde,Heimisch
15,Winterlinde,Heimisch
50,Silberlinde,Andere
40,Winterlinde,Heimisch
45,Winterlinde,Heimisch
50,Winterlinde,Heimisch
50,Winterlinde,Heimisch
35,Winterlinde,Heimisch
35,Winterlinde,Heimisch
60,Winterlinde,Heimisch
40,Winterlinde,Heimisch
50,Winterlinde,Heimisch
40,Winterlinde,Heimisch
35,Winterlinde,Heimisch
35,Winterlinde,Heimisch
30,Winterlinde,Heimisch
35,Winterlinde,Heimisch
45,Winterlinde,Heimisch
35,Spitzahorn,Heimisch
35,"Hainbuche, Weißbuche",Heimisch
30,"Hainbuche, Weißbuche",Heimisch
20,"Hainbuche, Weißbuche",Heimisch
40,"Hainbuche, Weißbuche",Heimisch
15,"Hainbuche, Weißbuche",Heimisch
35,"Hainbuche, Weißbuche",Heimisch
40,"Hainbuche, Weißbuche",Heimisch
35,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
15,"Hainbuche, Weißbuche",Heimisch
40,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
80,Platane,Heimisch
50,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
40,Ahorn,Heimisch
40,Baumhasel,Andere
25,Baumhasel,Andere
35,Baumhasel,Andere
30,Baumhasel,Andere
40,Baumhasel,Andere
25,Baumhasel,Andere
25,Baumhasel,Andere
35,Baumhasel,Andere
35,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
40,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
35,Baumhasel,Andere
35,Baumhasel,Andere
45,Baumhasel,Andere
35,Baumhasel,Andere
30,Ahorn,Heimisch
25,Ahorn,Heimisch
10,Ahorn,Heimisch
25,Kugel-Trompetenbaum,Andere
15,Ahorn,Heimisch
15,Ahorn,Heimisch
10,Ahorn,Heimisch
15,Ahorn,Heimisch
20,Ahorn,Heimisch
15,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
15,Ahorn,Heimisch
25,Ahorn,Heimisch
15,Ahorn,Heimisch
20,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
15,Ahorn,Heimisch
20,Ahorn,Heimisch
20,Ahorn,Heimisch
30,Ahorn,Heimisch
20,Ahorn,Heimisch
30,Ahorn,Heimisch
15,Ahorn,Heimisch
25,Ahorn,Heimisch
10,Ahorn,Heimisch
10,Ahorn,Heimisch
25,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
30,Ahorn,Heimisch
20,Ahorn,Heimisch
20,Ahorn,Heimisch
25,Ahorn,Heimisch
35,Ahorn,Heimisch
15,Ahorn,Heimisch
15,Ahorn,Heimisch
20,Ahorn,Heimisch
15,Ahorn,Heimisch
30,Ahorn,Heimisch
35,Ahorn,Heimisch
30,Ahorn,Heimisch
25,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
20,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
40,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
40,Spitzahorn,Heimisch
40,Spitzahorn,Heimisch
40,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
35,Feldahorn,Heimisch
35,Feldahorn,Heimisch
15,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
40,Scheinakazie,Andere
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
40,Ahorn,Heimisch
40,Linde,Heimisch
40,Linde,Heimisch
35,Linde,Heimisch
25,Linde,Heimisch
40,"Dreidorniger Lederhülsenbaum, Gleditschie",Andere
35,"Dreidorniger Lederhülsenbaum, Gleditschie",Andere
35,Japanischer Schnurbaum,Andere
20,Japanischer Schnurbaum,Andere
45,Bergahorn,Heimisch
30,Bergahorn,Heimisch
35,Bergahorn,Heimisch
55,Linde,Heimisch
60,Linde,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
35,Platane,Heimisch
5,Platane,Heimisch
75,Linde,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
75,Linde,Heimisch
30,Linde,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
50,Linde,Heimisch
50,Linde,Heimisch
75,Linde,Heimisch
70,Linde,Heimisch
55,Linde,Heimisch
70,Linde,Heimisch
45,Linde,Heimisch
40,Linde,Heimisch
65,Linde,Heimisch
80,Linde,Heimisch
15,Bergahorn,Heimisch
15,Bergahorn,Heimisch
25,Bergahorn,Heimisch
45,Eiche,Heimisch
40,Eiche,Heimisch
30,Ahorn,Heimisch
60,Eiche,Heimisch
25,Gemeine Esche,Heimisch
35,"Hainbuche, Weißbuche",Heimisch
35,Rot-Buche,Heimisch
30,Hasel,Heimisch
30,Hasel,Heimisch
45,Hasel,Heimisch
45,Hasel,Heimisch
35,Hasel,Heimisch
35,Hasel,Heimisch
40,Hasel,Heimisch
35,Hasel,Heimisch
35,Platane,Heimisch
25,Scheinakazie,Andere
25,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
15,Scheinakazie,Andere
5,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
50,Scheinakazie,Andere
20,Scheinakazie,Andere
5,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
20,Scheinakazie,Andere
20,Scheinakazie,Andere
15,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
50,Scheinakazie,Andere
15,Scheinakazie,Andere
5,Scheinakazie,Andere
5,Scheinakazie,Andere
50,Linde,Heimisch
25,Platane,Heimisch
60,Platane,Heimisch
60,Hasel,Heimisch
5,Hasel,Heimisch
5,Hasel,Heimisch
60,Platane,Heimisch
25,Kastanie,Heimisch
40,Kastanie,Heimisch
20,Kastanie,Heimisch
5,Kastanie,Heimisch
5,Kastanie,Heimisch
65,Kastanie,Heimisch
25,Kastanie,Heimisch
30,Kastanie,Heimisch
5,Kastanie,Heimisch
40,Kastanie,Heimisch
30,Kastanie,Heimisch
30,Kastanie,Heimisch
85,Kastanie,Heimisch
5,Kastanie,Heimisch
5,Kastanie,Heimisch
25,Kastanie,Heimisch
30,Kastanie,Heimisch
75,Kastanie,Heimisch
30,Kastanie,Heimisch
60,Kastanie,Heimisch
60,Kastanie,Heimisch
45,Kastanie,Heimisch
45,Kastanie,Heimisch
55,Kastanie,Heimisch
55,Kastanie,Heimisch
65,Kastanie,Heimisch
30,Kastanie,Heimisch
70,Kastanie,Heimisch
60,Kastanie,Heimisch
45,Kastanie,Heimisch
75,Kastanie,Heimisch
60,Kastanie,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
70,Platane,Heimisch
60,Platane,Heimisch
55,Platane,Heimisch
60,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
40,Platane,Heimisch
60,Platane,Heimisch
75,Platane,Heimisch
35,Platane,Heimisch
65,Platane,Heimisch
40,Platane,Heimisch
50,Platane,Heimisch
60,Platane,Heimisch
25,Platane,Heimisch
70,Platane,Heimisch
70,Platane,Heimisch
65,Platane,Heimisch
55,Platane,Heimisch
60,Platane,Heimisch
55,Platane,Heimisch
85,Platane,Heimisch
65,Platane,Heimisch
75,Platane,Heimisch
55,Platane,Heimisch
45,Platane,Heimisch
30,Platane,Heimisch
55,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
75,Platane,Heimisch
70,Platane,Heimisch
20,Platane,Heimisch
20,Platane,Heimisch
70,Platane,Heimisch
75,Platane,Heimisch
85,Platane,Heimisch
70,Platane,Heimisch
75,Platane,Heimisch
55,Platane,Heimisch
40,Platane,Heimisch
60,Platane,Heimisch
60,Platane,Heimisch
60,Platane,Heimisch
30,Platane,Heimisch
45,Platane,Heimisch
65,Platane,Heimisch
65,Platane,Heimisch
65,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
60,Platane,Heimisch
75,Platane,Heimisch
80,Platane,Heimisch
75,Platane,Heimisch
10,Scheinakazie,Andere
95,Linde,Heimisch
5,Linde,Heimisch
65,Linde,Heimisch
65,Linde,Heimisch
50,Linde,Heimisch
70,Linde,Heimisch
50,Linde,Heimisch
55,Linde,Heimisch
55,Linde,Heimisch
35,Linde,Heimisch
75,Linde,Heimisch
50,Platane,Heimisch
40,Platane,Heimisch
30,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
70,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
75,Platane,Heimisch
65,Platane,Heimisch
50,Linde,Heimisch
20,Linde,Heimisch
30,Linde,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
65,Platane,Heimisch
65,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
35,Platane,Heimisch
70,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
45,Platane,Heimisch
50,Platane,Heimisch
40,Platane,Heimisch
50,Platane,Heimisch
65,Platane,Heimisch
50,Platane,Heimisch
80,Platane,Heimisch
50,Platane,Heimisch
75,Platane,Heimisch
40,Platane,Heimisch
70,Platane,Heimisch
60,Platane,Heimisch
35,Platane,Heimisch
20,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
80,Platane,Heimisch
65,Platane,Heimisch
35,Platane,Heimisch
10,Platane,Heimisch
10,Platane,Heimisch
15,Platane,Heimisch
10,Platane,Heimisch
20,Platane,Heimisch
15,Platane,Heimisch
15,Platane,Heimisch
15,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
15,Platane,Heimisch
20,Platane,Heimisch
15,Platane,Heimisch
20,Platane,Heimisch
20,Platane,Heimisch
15,Platane,Heimisch
65,Scheinakazie,Andere
35,Scheinakazie,Andere
15,Platane,Heimisch
25,Platane,Heimisch
20,Platane,Heimisch
40,Scheinakazie,Andere
25,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Mehlbeere,Heimisch
55,Mehlbeere,Heimisch
50,Mehlbeere,Heimisch
10,Mehlbeere,Heimisch
30,Spitzahorn,Heimisch
50,"Hainbuche, Weißbuche",Heimisch
45,Bergahorn,Heimisch
30,Spitzahorn,Heimisch
20,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
40,Spitzahorn,Heimisch
30,Bergahorn,Heimisch
40,Spitzahorn,Heimisch
40,"Hainbuche, Weißbuche",Heimisch
25,Spitzahorn,Heimisch
50,Bergahorn,Heimisch
25,Spitzahorn,Heimisch
40,Spitzahorn,Heimisch
40,Bergahorn,Heimisch
30,Spitzahorn,Heimisch
40,"Hainbuche, Weißbuche",Heimisch
45,"Hainbuche, Weißbuche",Heimisch
70,"Hainbuche, Weißbuche",Heimisch
60,Spitzahorn,Heimisch
65,Bergahorn,Heimisch
45,Bergahorn,Heimisch
60,Bergahorn,Heimisch
45,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
45,Spitzahorn,Heimisch
15,Bergahorn,Heimisch
30,Bergahorn,Heimisch
40,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
40,Spitzahorn,Heimisch
30,Scheinakazie,Andere
10,Spitzahorn,Heimisch
50,Roßkastanie,Heimisch
95,Platane,Heimisch
45,Winterlinde,Heimisch
50,Winterlinde,Heimisch
10,Zierapfel,Heimisch
10,Zierapfel,Heimisch
10,Echter Rotdorn,Heimisch
10,Zierapfel,Heimisch
30,Echter Rotdorn,Heimisch
10,Zierapfel,Heimisch
35,Echter Rotdorn,Heimisch
15,Echter Rotdorn,Heimisch
30,Echter Rotdorn,Heimisch
25,Echter Rotdorn,Heimisch
10,Feldahorn,Heimisch
10,Feldahorn,Heimisch
25,Spitzahorn,Heimisch
25,Echter Rotdorn,Heimisch
25,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
25,Spitzahorn,Heimisch
80,Platane,Heimisch
90,Platane,Heimisch
75,Platane,Heimisch
85,Platane,Heimisch
80,Platane,Heimisch
75,Platane,Heimisch
75,Platane,Heimisch
80,Platane,Heimisch
80,Platane,Heimisch
85,Platane,Heimisch
75,Platane,Heimisch
80,Platane,Heimisch
90,Platane,Heimisch
55,Platane,Heimisch
85,Platane,Heimisch
75,Platane,Heimisch
85,Platane,Heimisch
5,Platane,Heimisch
105,Platane,Heimisch
80,Roßkastanie,Heimisch
35,Platane,Heimisch
60,"Sommer-Eiche, Stieleiche",Heimisch
70,Roßkastanie,Heimisch
60,Roßkastanie,Heimisch
50,Roßkastanie,Heimisch
70,Roßkastanie,Heimisch
45,Roßkastanie,Heimisch
65,Spitzahorn,Heimisch
30,Spitzahorn,Heimisch
55,Roßkastanie,Heimisch
45,Roßkastanie,Heimisch
25,Ahorn,Heimisch
20,Ahorn,Heimisch
15,Ahorn,Heimisch
15,Ahorn,Heimisch
25,Ahorn,Heimisch
15,Ahorn,Heimisch
15,Ahorn,Heimisch
35,Ahorn,Heimisch
35,Ahorn,Heimisch
15,Baumhasel,Andere
25,Baumhasel,Andere
25,Baumhasel,Andere
25,Baumhasel,Andere
35,Baumhasel,Andere
45,Baumhasel,Andere
35,Baumhasel,Andere
25,Baumhasel,Andere
30,Baumhasel,Andere
40,Baumhasel,Andere
35,Baumhasel,Andere
40,Baumhasel,Andere
10,Baumhasel,Andere
30,Baumhasel,Andere
15,Baumhasel,Andere
20,Baumhasel,Andere
35,Baumhasel,Andere
40,Baumhasel,Andere
35,Baumhasel,Andere
35,Baumhasel,Andere
30,Baumhasel,Andere
20,Baumhasel,Andere
55,Scheinakazie,Andere
65,Kugelahorn,Heimisch
45,Kugelahorn,Heimisch
65,Platane,Heimisch
75,Platane,Heimisch
60,Platane,Heimisch
65,Platane,Heimisch
65,Platane,Heimisch
65,Platane,Heimisch
35,Ahorn,Heimisch
25,Kirsche,Heimisch
20,"Hainbuche, Weißbuche",Heimisch
25,Bergahorn,Heimisch
15,Bergahorn,Heimisch
20,"Hainbuche, Weißbuche",Heimisch
25,Bergahorn,Heimisch
15,Bergahorn,Heimisch
25,"Hainbuche, Weißbuche",Heimisch
10,"Hainbuche, Weißbuche",Heimisch
35,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
15,"Hainbuche, Weißbuche",Heimisch
20,"Hainbuche, Weißbuche",Heimisch
25,Sandbirke,Heimisch
30,Sandbirke,Heimisch
50,Sandbirke,Heimisch
40,Sandbirke,Heimisch
55,Pappel,Heimisch
20,Baumhasel,Andere
35,Baumhasel,Andere
35,Baumhasel,Andere
35,Baumhasel,Andere
45,Baumhasel,Andere
40,Baumhasel,Andere
40,Baumhasel,Andere
10,Baumhasel,Andere
80,Platane,Heimisch
80,Platane,Heimisch
80,Platane,Heimisch
85,Platane,Heimisch
75,Platane,Heimisch
60,Platane,Heimisch
90,Platane,Heimisch
75,Platane,Heimisch
75,Platane,Heimisch
55,Platane,Heimisch
65,Platane,Heimisch
60,Platane,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
65,Platane,Heimisch
55,Platane,Heimisch
80,Platane,Heimisch
65,Platane,Heimisch
25,Platane,Heimisch
70,Platane,Heimisch
75,Platane,Heimisch
75,Platane,Heimisch
30,Pappel,Heimisch
65,Platane,Heimisch
85,Platane,Heimisch
85,Platane,Heimisch
75,Platane,Heimisch
85,Platane,Heimisch
45,Platane,Heimisch
70,Platane,Heimisch
75,Platane,Heimisch
75,Platane,Heimisch
80,Platane,Heimisch
80,Platane,Heimisch
85,Platane,Heimisch
45,Platane,Heimisch
60,Platane,Heimisch
60,Spitzahorn,Heimisch
60,Spitzahorn,Heimisch
35,Spitzahorn,Heimisch
30,Amerikanische Rot-Eiche,Andere
30,Amerikanische Rot-Eiche,Andere
30,Amerikanische Rot-Eiche,Andere
30,Amerikanische Rot-Eiche,Andere
30,Amerikanische Rot-Eiche,Andere
30,Amerikanische Rot-Eiche,Andere
20,Amerikanische Rot-Eiche,Andere
45,"Hainbuche, Weißbuche",Heimisch
40,"Hainbuche, Weißbuche",Heimisch
10,"Hainbuche, Weißbuche",Heimisch
50,Platane,Heimisch
45,Birke,Heimisch
45,Birke,Heimisch
45,Birke,Heimisch
40,Birke,Heimisch
40,Birke,Heimisch
45,Birke,Heimisch
35,Birke,Heimisch
45,Birke,Heimisch
40,Birke,Heimisch
40,Birke,Heimisch
40,Birke,Heimisch
60,Eiche,Heimisch
40,Eiche,Heimisch
35,Eiche,Heimisch
35,Eiche,Heimisch
45,Eiche,Heimisch
55,Eiche,Heimisch
60,Eiche,Heimisch
35,"Dreidorniger Lederhülsenbaum, Gleditschie",Andere
35,Eiche,Heimisch
30,"Dreidorniger Lederhülsenbaum, Gleditschie",Andere
30,Eiche,Heimisch
20,Birke,Heimisch
40,Birke,Heimisch
40,"Dreidorniger Lederhülsenbaum, Gleditschie",Andere
10,Birne,Heimisch
35,"Sommer-Eiche, Stieleiche",Heimisch
25,Birke,Heimisch
45,Scheinakazie,Andere
55,Silber-Ahorn,Andere
15,Sandbirke,Heimisch
40,Silber-Ahorn,Andere
45,Silber-Ahorn,Andere
45,Ahorn,Heimisch
45,Ahorn,Heimisch
35,Ahorn,Heimisch
60,"Hainbuche, Weißbuche",Heimisch
40,Platane,Heimisch
40,Roßkastanie,Heimisch
55,"Hainbuche, Weißbuche",Heimisch
50,"Hainbuche, Weißbuche",Heimisch
55,"Hainbuche, Weißbuche",Heimisch
40,Hasel,Heimisch
15,Hasel,Heimisch
40,Hasel,Heimisch
50,Hasel,Heimisch
50,Hasel,Heimisch
35,Hasel,Heimisch
25,Hasel,Heimisch
35,Hasel,Heimisch
40,Hasel,Heimisch
50,Hasel,Heimisch
45,Hasel,Heimisch
40,Hasel,Heimisch
40,Hasel,Heimisch
45,Hasel,Heimisch
35,Hasel,Heimisch
30,"Crataegus, Dorn",Heimisch
55,"Hainbuche, Weißbuche",Heimisch
45,"Hainbuche, Weißbuche",Heimisch
45,"Hainbuche, Weißbuche",Heimisch
45,"Hainbuche, Weißbuche",Heimisch
55,"Hainbuche, Weißbuche",Heimisch
